country,date,Total Vaccinations,Daily Vaccinations,People Vaccinated 100,Daily Vaccination 1 mio,Vaccines
Algeria,2021-01-29,0.0,0.0,0.0,0.0,Sputnik V
Algeria,2021-01-30,30.0,30.0,0.0,1.0,Sputnik V
Andorra,2021-01-25,576.0,0.0,0.75,0.0,Pfizer/BioNTech
Andorra,2021-01-26,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-27,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-28,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-29,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-30,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-31,0.0,66.0,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-01,1036.0,66.0,1.34,854.0,Pfizer/BioNTech
Argentina,2020-12-29,700.0,0.0,0.0,0.0,Sputnik V
Argentina,2020-12-30,0.0,15656.0,0.0,346.0,Sputnik V
Argentina,2020-12-31,32013.0,15656.0,0.0,346.0,Sputnik V
Argentina,2021-01-01,0.0,11070.0,0.0,245.0,Sputnik V
Argentina,2021-01-02,0.0,8776.0,0.0,194.0,Sputnik V
Argentina,2021-01-03,0.0,7400.0,0.0,164.0,Sputnik V
Argentina,2021-01-04,39599.0,6483.0,0.0,143.0,Sputnik V
Argentina,2021-01-05,0.0,7984.0,0.0,177.0,Sputnik V
Argentina,2021-01-06,0.0,8173.0,0.0,181.0,Sputnik V
Argentina,2021-01-07,0.0,8363.0,0.0,185.0,Sputnik V
Argentina,2021-01-08,107542.0,10519.0,0.0,233.0,Sputnik V
Argentina,2021-01-09,0.0,11942.0,0.0,264.0,Sputnik V
Argentina,2021-01-10,0.0,13365.0,0.0,296.0,Sputnik V
Argentina,2021-01-11,0.0,14788.0,0.0,327.0,Sputnik V
Argentina,2021-01-12,0.0,14056.0,0.0,311.0,Sputnik V
Argentina,2021-01-13,166833.0,13323.0,0.0,295.0,Sputnik V
Argentina,2021-01-14,0.0,13320.0,0.0,295.0,Sputnik V
Argentina,2021-01-15,200759.0,13317.0,0.0,295.0,Sputnik V
Argentina,2021-01-16,0.0,12971.0,0.0,287.0,Sputnik V
Argentina,2021-01-17,0.0,12624.0,0.0,279.0,Sputnik V
Argentina,2021-01-18,0.0,12278.0,0.0,272.0,Sputnik V
Argentina,2021-01-19,0.0,11932.0,0.0,264.0,Sputnik V
Argentina,2021-01-20,247933.0,11586.0,0.54,256.0,Sputnik V
Argentina,2021-01-21,265724.0,11704.0,0.55,259.0,Sputnik V
Argentina,2021-01-22,279602.0,11263.0,0.56,249.0,Sputnik V
Argentina,2021-01-23,288064.0,11124.0,0.57,246.0,Sputnik V
Argentina,2021-01-24,292023.0,10342.0,0.58,229.0,Sputnik V
Argentina,2021-01-25,292386.0,9046.0,0.58,200.0,Sputnik V
Argentina,2021-01-26,305880.0,9626.0,0.59,213.0,Sputnik V
