country,date,Daily Vaccinations
Latvia,2020-12-28,0.0
Latvia,2020-12-29,874.0
Latvia,2020-12-30,833.0
Latvia,2020-12-31,602.0
Latvia,2021-01-01,486.0
Latvia,2021-01-02,417.0
Latvia,2021-01-03,371.0
Latvia,2021-01-04,338.0
Latvia,2021-01-05,340.0
Latvia,2021-01-06,338.0
Latvia,2021-01-07,433.0
Latvia,2021-01-08,543.0
Latvia,2021-01-09,566.0
Latvia,2021-01-10,594.0
Latvia,2021-01-11,769.0
Latvia,2021-01-12,875.0
Latvia,2021-01-13,979.0
Latvia,2021-01-14,1123.0
Latvia,2021-01-15,1260.0
Latvia,2021-01-16,1311.0
Latvia,2021-01-17,1280.0
Latvia,2021-01-18,1205.0
Latvia,2021-01-19,1098.0
Latvia,2021-01-20,993.0
Latvia,2021-01-21,773.0
Latvia,2021-01-22,537.0
Latvia,2021-01-23,460.0
Latvia,2021-01-24,491.0
Latvia,2021-01-25,419.0
Latvia,2021-01-26,415.0
Latvia,2021-01-27,421.0
Latvia,2021-01-28,493.0
Latvia,2021-01-29,600.0
Latvia,2021-01-30,626.0
Latvia,2021-01-31,626.0
Latvia,2021-02-01,747.0
Latvia,2021-02-02,879.0
France,2020-12-27,0.0
France,2020-12-28,39.0
France,2020-12-29,62.0
France,2020-12-30,75.0
France,2020-12-31,76.0
France,2021-01-01,62.0
France,2021-01-02,59.0
France,2021-01-03,61.0
France,2021-01-04,250.0
France,2021-01-05,944.0
France,2021-01-06,2404.0
France,2021-01-07,6138.0
France,2021-01-08,10814.0
France,2021-01-09,12278.0
France,2021-01-10,13027.0
France,2021-01-11,17659.0
France,2021-01-12,24625.0
France,2021-01-13,31246.0
France,2021-01-14,37561.0
France,2021-01-15,41261.0
France,2021-01-16,42287.0
France,2021-01-17,42897.0
France,2021-01-18,48952.0
France,2021-01-19,58088.0
France,2021-01-20,67598.0
France,2021-01-21,77739.0
France,2021-01-22,84981.0
France,2021-01-23,87546.0
France,2021-01-24,87437.0
France,2021-01-25,86710.0
France,2021-01-26,83647.0
France,2021-01-27,80820.0
